작성자,평점,날짜,리뷰내용,정제리뷰,긍정확률,예측감성,평점감성
김정현,5,2026-05-30 04:09:33,토스 잘 사용히고 있습니다 토스증권에서 다양한 주식 구매 방법이 있는데 새로운 주기적 구매 방법에 대한 아이디어가 있어 작성합니다 특정 주식에서 배당금이 나오면 자동으로 그주식 배당금으로 나온 금액 만큼 다시 그 주식을 구매해주는 기능이 있다면 좋겠다 생각합니다,토스 잘 사용히고 있습니다 토스증권에서 다양한 주식 구매 방법이 있는데 새로운 주기적 구매 방법에 대한 아이디어가 있어 작성합니다 특정 주식에서 배당금이 나오면 자동으로 그주식 배당금으로 나온 금액 만큼 다시 그 주식을 구매해주는 기능이 있다면 좋겠다 생각합니다,0.9506080229179414,긍정,긍정
조순자,4,2026-05-30 04:00:17,앱사용이편리했으면합니다,앱사용이편리했으면합니다,0.4118236279966814,부정,긍정
제이은,1,2026-05-30 03:12:38,"증권. 분봉차트에서 날짜 구분선 설정 체크 해제 했는데 구분선이 안 사라져요!!!!! 그리고 프로그램 거래량 매도수량, 매수수량 왜 토스증권만 달라요? 제가 증권사 4곳 보는데 3곳은 일치하는데.. 토스증권만 달라요",증권 분봉차트에서 날짜 구분선 설정 체크 해제 했는데 구분선이 안 사라져요 그리고 프로그램 거래량 매도수량 매수수량 왜 토스증권만 달라요 제가 증권사 곳 보는데 곳은 일치하는데 토스증권만 달라요,0.5655091810212062,긍정,부정
최병석,4,2026-05-30 03:01:56,굿굿굿,굿굿굿,0.9620289755645709,긍정,긍정
jung kim,1,2026-05-30 02:57:39,업데이트 하라해서 했는데 않됨.,업데이트 하라해서 했는데 않됨,0.4584054301696064,부정,부정
아리아홉꼬리,5,2026-05-30 02:19:32,업데이트헤야 이용가능한 부분에서 무한 반복중.. 구글앱에서는 업데이트없음..,업데이트헤야 이용가능한 부분에서 무한 반복중 구글앱에서는 업데이트없음,0.3903691093531802,부정,긍정
홍정진,5,2026-05-30 02:00:13,포인트도싸이고~굿,포인트도싸이고굿,0.3046979847674557,부정,긍정
진영숙,5,2026-05-30 01:09:07,참 좋아요,참 좋아요,0.9623713976962854,긍정,긍정
정성권,1,2026-05-30 00:56:52,왜 복잡해요노인들은 잘이용하기힘들어오ㅡ,왜 복잡해요노인들은 잘이용하기힘들어오ㅡ,0.12413546810141787,부정,부정
문영민,5,2026-05-30 00:47:37,너무 유용한 앱이에요,너무 유용한 앱이에요,0.8668881276599677,긍정,긍정
이한휘,4,2026-05-30 00:46:16,다 좋은데 은행점검시간엔 홈에 대문짝만하게 점검시간이라고 표시됐으면 좋겠어요. 매번 잊어버리고 내역 확인하는데 점검시간이라는 메시지가 뒤늦게 뜨는 게 불편해요,다 좋은데 은행점검시간엔 홈에 대문짝만하게 점검시간이라고 표시됐으면 좋겠어요 매번 잊어버리고 내역 확인하는데 점검시간이라는 메시지가 뒤늦게 뜨는 게 불편해요,0.22654127584490352,부정,긍정
Music Pastor Ph. D in Art Lee Chung,1,2026-05-30 00:35:00,이상해...,이상해,0.011309277550044884,부정,부정
Rakyoung Kim,5,2026-05-30 00:28:20,굿,굿,0.9694210783202586,긍정,긍정
박금숙,5,2026-05-30 00:26:28,송금도 편리하고 좋은상품 가격도 저렴하고 만족요,송금도 편리하고 좋은상품 가격도 저렴하고 만족요,0.5175672398962843,긍정,긍정
박창근,4,2026-05-30 00:19:47,조아요,조아요,0.9515643664803086,긍정,긍정
김보경,5,2026-05-30 00:15:47,상품 광고 보니까 좋은제품들이 많아 좋은것같아요,상품 광고 보니까 좋은제품들이 많아 좋은것같아요,0.7637803013715272,긍정,긍정
jiheon Song,5,2026-05-30 00:15:00,앱은 편리하고 좋은데 관리하시는분들이 너무 편하게 일하려는듯한 느낌을받았어요...이용자가 다소불편해도 관리하시는분들이 편할 수 있도륵...그런씩으로 일하시는듯한 느낌..편하지만 곧 사라질것같은 그런앱인듯 해요,앱은 편리하고 좋은데 관리하시는분들이 너무 편하게 일하려는듯한 느낌을받았어요이용자가 다소불편해도 관리하시는분들이 편할 수 있도륵그런씩으로 일하시는듯한 느낌편하지만 곧 사라질것같은 그런앱인듯 해요,0.8220408812068166,긍정,긍정
이동훈,5,2026-05-30 00:13:50,👍,,0.44579230199633696,부정,긍정
문재순,1,2026-05-30 00:12:14,했는데도 계속 업데이트 하라고 뜨네요ㅠ,했는데도 계속 업데이트 하라고 뜨네요ㅠ,0.643941397629118,긍정,부정
조은새,5,2026-05-30 00:10:41,앱은 작동하고 서비스가있지만다음내용화면이 알수없는것,앱은 작동하고 서비스가있지만다음내용화면이 알수없는것,0.43242115301716955,부정,긍정
Psyche Kim,2,2026-05-30 00:03:23,"이번주 미션 하려면 업데이트하라고 나오는데, 업데이트 버튼이 아예 없네요. 그리고 만보기 긁기하며 포인트가 나오지 않고, 당연히 적립도 안돼요.",이번주 미션 하려면 업데이트하라고 나오는데 업데이트 버튼이 아예 없네요 그리고 만보기 긁기하며 포인트가 나오지 않고 당연히 적립도 안돼요,0.10800406207026064,부정,부정
